id,Conservanc,GrazingBlo,Longitude,Latitude
319,Namunyak,Namunyak_GA7a,37.291604591,1.2578920332
320,Namunyak,Namunyak_GA7b,37.3065882709,1.2229030605
321,Namunyak,Namunyak_GA8a,37.2457637719,1.1754304662
322,Namunyak,Namunyak_GA6a,37.354538999,1.1570218758
323,Namunyak,Namunyak_GA6b,37.322859578,1.0932100339
324,Namunyak,Namunyak_GA8b,37.2772253901,1.1495684144
325,Namunyak,Namunyak_GA4a,37.3917239885,1.0858748394
326,Namunyak,Namunyak_GA3b,37.4045944397,1.2475229899
327,Namunyak,Namunyak_GA4b,37.5143373242,1.1339001973
328,II Ngwesi,Settlement,37.3518488887,0.2951019681
329,II Ngwesi,Block 5,37.3422214799,0.3873667325
330,II Ngwesi,Block 4,37.3570071185,0.3793207899
331,II Ngwesi,Core Area,37.355717747,0.3616362962
332,II Ngwesi,Olmaroroi,37.3331129695,0.3505445611
333,II Ngwesi,Block 3,37.3605984465,0.3467384327
334,II Ngwesi,Settlement,37.387829902,0.3398777263
335,II Ngwesi,Block 2,37.3629123693,0.3239159811
336,II Ngwesi,Block 1,37.3821842959,0.3052328848
337,Namunyak,Namunyak,37.4462097686,0.8981431
